movie_title,movie_imdb_link,color,genre_4,duration,gross,genre_1,genre_2,genre_3,num_voted_users,facenumber_in_poster,language,country,content_rating,title_year,imdb_score
Dying of the Light ,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,Color,,94.0,,Drama,Thriller,,6964,1,English,Bahamas,R,2014.0,4.4
200 Cigarettes ,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,Color,,101.0,6851636.0,Comedy,Drama,Romance,13010,5,English,USA,R,1999.0,5.9
Scary Movie 4 ,http://www.imdb.com/title/tt0362120/?ref_=fn_tt_tt_1,Color,,89.0,,Comedy,,,93748,8,English,USA,PG-13,2006.0,5.1
AVP: Alien vs. Predator ,http://www.imdb.com/title/tt0370263/?ref_=fn_tt_tt_1,Color,Thriller,109.0,,Action,Horror,Sci-Fi,143628,0,English,USA,PG-13,2004.0,5.6
Madagascar 3: Europe's Most Wanted ,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1,Color,Family,93.0,216366733.0,Adventure,Animation,Comedy,119213,0,English,USA,PG,2012.0,6.9
Saints and Soldiers ,http://www.imdb.com/title/tt0373283/?ref_=fn_tt_tt_1,Color,War,90.0,,Action,Adventure,Drama,17725,0,English,USA,PG-13,2003.0,6.8
Queen of the Mountains ,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,Color,History,135.0,,Action,Biography,Drama,3144,1,English,Kyrgyzstan,PG-13,2014.0,8.7
Autumn in New York ,http://www.imdb.com/title/tt0174480/?ref_=fn_tt_tt_1,Color,,103.0,,Drama,Romance,,20201,2,English,USA,PG-13,2000.0,5.5
The Lawnmower Man ,http://www.imdb.com/title/tt0104692/?ref_=fn_tt_tt_1,Color,,140.0,32101000.0,Horror,Sci-Fi,,27800,0,English,UK,R,1992.0,5.4
The Santa Clause ,http://www.imdb.com/title/tt0111070/?ref_=fn_tt_tt_1,Color,Fantasy,97.0,,Comedy,Drama,Family,64742,0,English,USA,PG,1994.0,6.4
Kingdom of Heaven ,http://www.imdb.com/title/tt0320661/?ref_=fn_tt_tt_1,Color,History,194.0,,Action,Adventure,Drama,217373,1,English,USA,R,2005.0,7.2
Begin Again ,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1,Color,,104.0,,Drama,Music,,99430,1,English,USA,R,2013.0,7.4
Iguana ,http://www.imdb.com/title/tt0095354/?ref_=fn_tt_tt_1,Color,,97.0,,Adventure,Crime,Drama,240,1,English,Italy,,1988.0,6.2
Jack Reacher ,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,Color,Thriller,130.0,,Action,Crime,Mystery,226583,2,English,USA,PG-13,2012.0,7.0
Howl's Moving Castle ,http://www.imdb.com/title/tt0347149/?ref_=fn_tt_tt_1,Color,Fantasy,119.0,4710455.0,Adventure,Animation,Family,214091,0,Japanese,Japan,PG,2004.0,8.2
Johnny English ,http://www.imdb.com/title/tt0274166/?ref_=fn_tt_tt_1,Color,,87.0,,Action,Adventure,Comedy,114692,1,English,UK,PG,2003.0,6.1
Thir13en Ghosts ,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,Color,,91.0,41867960.0,Horror,,,65512,0,English,USA,R,2001.0,5.5
Henry & Me ,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,Color,,67.0,,Animation,Family,,83,2,English,USA,PG,2014.0,6.7
Modern Times ,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1, Black and White,,87.0,,Comedy,Drama,Family,143086,1,English,USA,G,1936.0,8.6
Don't Be Afraid of the Dark ,http://www.imdb.com/title/tt1270761/?ref_=fn_tt_tt_1,Color,,99.0,24042490.0,Fantasy,Horror,Thriller,40776,1,English,USA,R,2010.0,5.6
Black Water Transit ,http://www.imdb.com/title/tt0490087/?ref_=fn_tt_tt_1,Color,,,,Crime,Drama,,219,0,English,USA,,2009.0,7.2
Confessions of a Teenage Drama Queen ,http://www.imdb.com/title/tt0361467/?ref_=fn_tt_tt_1,Color,Romance,89.0,29302097.0,Comedy,Family,Music,23408,8,English,Germany,PG,2004.0,4.6
Courageous ,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,Color,,129.0,34522221.0,Drama,,,15401,7,English,USA,PG-13,2011.0,7.0
Zookeeper ,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1,Color,,102.0,,Comedy,Family,Romance,44662,1,English,USA,PG,2011.0,5.2
Zoolander 2 ,http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1,Color,,102.0,,Comedy,,,34964,4,English,USA,PG-13,2016.0,4.8
Let's Go to Prison ,http://www.imdb.com/title/tt0454987/?ref_=fn_tt_tt_1,Color,,90.0,,Comedy,Crime,,19622,0,English,USA,R,2006.0,6.0
Fahrenheit 9/11 ,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,Color,,122.0,119078393.0,Documentary,Drama,War,113152,0,English,USA,R,2004.0,7.5
Swelter ,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1,Color,Thriller,96.0,,Action,Crime,Drama,1965,6,English,USA,R,2014.0,4.6
The Singing Detective ,http://www.imdb.com/title/tt0314676/?ref_=fn_tt_tt_1,Color,Mystery,109.0,336456.0,Comedy,Crime,Musical,7116,2,English,USA,R,2003.0,5.6
Pan's Labyrinth ,http://www.imdb.com/title/tt0457430/?ref_=fn_tt_tt_1,Color,,112.0,,Drama,Fantasy,War,467234,0,Spanish,Spain,R,2006.0,8.2
Boogeyman ,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,Color,Thriller,89.0,46363118.0,Drama,Horror,Mystery,25960,0,English,USA,PG-13,2005.0,4.1
G.I. Joe: Retaliation ,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,Color,Thriller,122.0,,Action,Adventure,Sci-Fi,146352,6,English,USA,PG-13,2013.0,5.8
October Baby ,http://www.imdb.com/title/tt1720182/?ref_=fn_tt_tt_1,Color,,107.0,5355847.0,Drama,,,6110,1,English,USA,PG-13,2011.0,6.8
Becoming Jane ,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,Color,,120.0,,Biography,Drama,Romance,46204,1,English,UK,PG,2007.0,7.1
Silver Medallist ,http://www.imdb.com/title/tt0851515/?ref_=fn_tt_tt_1,Color,,99.0,,Action,Adventure,Comedy,1418,1,Mandarin,China,,2009.0,7.4
Sheena ,http://www.imdb.com/title/tt0088103/?ref_=fn_tt_tt_1,Color,,117.0,,Adventure,Fantasy,,3334,1,English,UK,PG,1984.0,4.8
Maggie ,http://www.imdb.com/title/tt1881002/?ref_=fn_tt_tt_1,Color,,95.0,,Drama,Horror,,30219,2,English,USA,PG-13,2015.0,5.6
The Truman Show ,http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,Color,,103.0,,Comedy,Drama,Sci-Fi,667983,1,English,USA,PG,1998.0,8.1
You Will Meet a Tall Dark Stranger ,http://www.imdb.com/title/tt1182350/?ref_=fn_tt_tt_1,Color,,98.0,,Comedy,Drama,Romance,36145,0,English,USA,R,2010.0,6.3
Unstoppable ,http://www.imdb.com/title/tt0477080/?ref_=fn_tt_tt_1,Color,,98.0,,Action,Thriller,,149947,1,English,USA,PG-13,2010.0,6.8
Miracle at St. Anna ,http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1,Color,Thriller,160.0,,Action,Crime,Drama,15697,0,English,USA,R,2008.0,6.0
A Perfect Plan ,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,Color,,104.0,,Comedy,Romance,,5525,2,French,France,,2012.0,6.3
Bubba Ho-Tep ,http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1,Color,,92.0,,Comedy,Fantasy,Mystery,38893,2,English,USA,R,2002.0,7.2
Independence Day: Resurgence ,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,Color,,120.0,102315545.0,Action,Adventure,Sci-Fi,58137,0,English,USA,PG-13,2016.0,5.5
Aquamarine ,http://www.imdb.com/title/tt0429591/?ref_=fn_tt_tt_1,Color,Romance,104.0,,Comedy,Family,Fantasy,30462,3,English,USA,PG,2006.0,5.3
The Legend of God's Gun ,http://www.imdb.com/title/tt1073221/?ref_=fn_tt_tt_1,Color,,78.0,243768.0,Western,,,143,0,English,USA,R,2007.0,4.1
Ali ,http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1, Black and White,,165.0,,Biography,Drama,Sport,79186,1,English,USA,R,2001.0,6.8
Mission: Impossible - Rogue Nation ,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,Color,,131.0,195000874.0,Action,Adventure,Thriller,232187,0,English,China,PG-13,2015.0,7.4
My Favorite Martian ,http://www.imdb.com/title/tt0120764/?ref_=fn_tt_tt_1,Color,,94.0,,Comedy,Family,Sci-Fi,10883,2,English,USA,PG,1999.0,4.9
Joy Ride ,http://www.imdb.com/title/tt0206314/?ref_=fn_tt_tt_1,Color,,97.0,21973182.0,Mystery,Thriller,,53415,2,English,USA,R,2001.0,6.6
Scooby-Doo ,http://www.imdb.com/title/tt0267913/?ref_=fn_tt_tt_1,Color,,86.0,,Adventure,Comedy,Mystery,71424,3,English,USA,PG,2002.0,4.9
Anacondas: The Hunt for the Blood Orchid ,http://www.imdb.com/title/tt0366174/?ref_=fn_tt_tt_1,Color,Thriller,97.0,31526393.0,Action,Adventure,Horror,22243,0,English,USA,PG-13,2004.0,4.6
Ben-Hur ,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,Color,,141.0,,Adventure,Drama,History,67,2,English,USA,PG-13,2016.0,6.0
When Harry Met Sally... ,http://www.imdb.com/title/tt0098635/?ref_=fn_tt_tt_1,Color,,89.0,92823600.0,Comedy,Drama,Romance,149108,0,English,USA,R,1989.0,7.6
The Order ,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,Color,,102.0,,Action,Mystery,Thriller,14962,1,English,USA,R,2003.0,5.1
The Hurricane ,http://www.imdb.com/title/tt0174856/?ref_=fn_tt_tt_1, Black and White,,146.0,,Biography,Drama,Sport,76016,0,English,USA,R,1999.0,7.6
Children of Men ,http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1,Color,,109.0,,Drama,Sci-Fi,Thriller,361767,0,English,USA,R,2006.0,7.9
A Man Apart ,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,Color,Thriller,109.0,,Action,Crime,Drama,38348,0,English,USA,R,2003.0,6.1
Stoker ,http://www.imdb.com/title/tt1682180/?ref_=fn_tt_tt_1,Color,,99.0,,Drama,Thriller,,84620,4,English,UK,R,2013.0,6.8
The Walking Deceased ,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,Color,,88.0,,Comedy,Horror,,2348,0,English,USA,R,2015.0,3.4
Instructions Not Included ,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,Color,,115.0,44456509.0,Comedy,Drama,,22105,1,Spanish,Mexico,PG-13,2013.0,7.6
End of Watch ,http://www.imdb.com/title/tt1855199/?ref_=fn_tt_tt_1,Color,,109.0,,Crime,Drama,Thriller,181025,2,English,USA,R,2012.0,7.7
Apollo 18 ,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,Color,Thriller,86.0,17683670.0,Horror,Mystery,Sci-Fi,47227,0,English,USA,PG-13,2011.0,5.2
My Name Is Bruce ,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,Color,,84.0,,Comedy,Fantasy,,21379,1,English,USA,R,2007.0,6.3
The Benchwarmers ,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,Color,,75.0,57651794.0,Comedy,Romance,Sport,40651,2,English,USA,PG-13,2006.0,5.6
Mona Lisa Smile ,http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1,Color,,117.0,,Drama,,,61490,1,English,USA,PG-13,2003.0,6.4
Ghost Rider ,http://www.imdb.com/title/tt0259324/?ref_=fn_tt_tt_1,Color,,123.0,115802596.0,Action,Fantasy,Thriller,182661,1,English,USA,PG-13,2007.0,5.2
Cube ,http://www.imdb.com/title/tt0123755/?ref_=fn_tt_tt_1,Color,,90.0,,Mystery,Sci-Fi,Thriller,160511,0,English,Canada,R,1997.0,7.3
Once Upon a Time in America ,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,Color,,251.0,5300000.0,Crime,Drama,,221000,8,English,Italy,R,1984.0,8.4
The Lost City ,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,Color,,144.0,,Drama,Romance,,8369,0,English,USA,R,2005.0,6.7
Operation Chromite ,http://www.imdb.com/title/tt4939066/?ref_=fn_tt_tt_1,Color,War,115.0,,Action,Drama,History,90,1,English,South Korea,,2016.0,6.8
Safe House ,http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1,Color,Thriller,115.0,126149655.0,Action,Crime,Mystery,166693,1,English,USA,R,2012.0,6.8
House of Flying Daggers ,http://www.imdb.com/title/tt0385004/?ref_=fn_tt_tt_1,Color,Romance,119.0,11041228.0,Action,Adventure,Drama,92295,3,Mandarin,China,PG-13,2004.0,7.6
The Game of Their Lives ,http://www.imdb.com/title/tt0354595/?ref_=fn_tt_tt_1,Color,,101.0,,Drama,History,Sport,2613,0,English,USA,PG,2005.0,6.2
Faster ,http://www.imdb.com/title/tt1433108/?ref_=fn_tt_tt_1,Color,Thriller,98.0,,Action,Crime,Drama,80574,1,English,USA,R,2010.0,6.5
The Charge of the Light Brigade ,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1, Black and White,War,100.0,,Action,Adventure,Romance,3418,3,English,USA,Approved,1936.0,7.1
Meek's Cutoff ,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,Color,,104.0,,Drama,Western,,8204,1,English,USA,PG,2010.0,6.5
Modern Problems ,http://www.imdb.com/title/tt0082763/?ref_=fn_tt_tt_1,Color,,93.0,,Comedy,Fantasy,Sci-Fi,3904,1,English,USA,PG,1981.0,5.0
Forrest Gump ,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1, Black and White,,142.0,329691196.0,Comedy,Drama,,1251222,0,English,USA,PG-13,1994.0,8.8
Soul Survivors ,http://www.imdb.com/title/tt0218619/?ref_=fn_tt_tt_1,Color,Thriller,84.0,3100650.0,Drama,Horror,Mystery,7277,4,English,USA,PG-13,2001.0,3.9
The Proposal ,http://www.imdb.com/title/tt1041829/?ref_=fn_tt_tt_1,Color,,108.0,,Comedy,Drama,Romance,227824,1,English,USA,PG-13,2009.0,6.7
Along Came Polly ,http://www.imdb.com/title/tt0343135/?ref_=fn_tt_tt_1,Color,,90.0,,Comedy,Romance,,106909,1,English,USA,PG-13,2004.0,5.9
Trance ,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,Color,Thriller,101.0,,Crime,Drama,Mystery,92640,0,English,UK,R,2013.0,7.0
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,http://www.imdb.com/title/tt1498870/?ref_=fn_tt_tt_1,Color,,82.0,,Comedy,,,5579,3,English,USA,R,2010.0,2.7
How Green Was My Valley ,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1, Black and White,,118.0,,Drama,Family,,15840,5,English,USA,Approved,1941.0,7.8
Braveheart ,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,Color,War,178.0,75600000.0,Biography,Drama,History,736638,1,English,USA,R,1995.0,8.4
My Fellow Americans ,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1,Color,,101.0,22294341.0,Adventure,Comedy,,12278,3,English,USA,PG-13,1996.0,6.5
Hanging Up ,http://www.imdb.com/title/tt0162983/?ref_=fn_tt_tt_1,Color,,94.0,,Comedy,Drama,,10132,3,English,Germany,PG-13,2000.0,4.7
Allegiant ,http://www.imdb.com/title/tt3410834/?ref_=fn_tt_tt_1,Color,Sci-Fi,120.0,,Action,Adventure,Mystery,44296,3,English,USA,PG-13,2016.0,5.8
American Reunion ,http://www.imdb.com/title/tt1605630/?ref_=fn_tt_tt_1,Color,,113.0,,Comedy,,,172112,7,English,USA,R,2012.0,6.7
Teenage Mutant Ninja Turtles ,http://www.imdb.com/title/tt1291150/?ref_=fn_tt_tt_1,Color,Sci-Fi,101.0,190871240.0,Action,Adventure,Comedy,167089,0,English,USA,PG-13,2014.0,5.9
Confessions of a Dangerous Mind ,http://www.imdb.com/title/tt0270288/?ref_=fn_tt_tt_1,Color,Drama,113.0,,Biography,Comedy,Crime,71596,0,English,USA,R,2002.0,7.1
Someone Like You... ,http://www.imdb.com/title/tt0244970/?ref_=fn_tt_tt_1,Color,,97.0,,Comedy,Romance,,19709,3,English,USA,PG-13,2001.0,6.1
Star Trek Beyond ,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,Color,Thriller,122.0,130468626.0,Action,Adventure,Sci-Fi,53607,4,English,USA,PG-13,2016.0,7.5
A Touch of Frost             ,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,Color,,105.0,,Crime,Drama,Mystery,4438,1,English,UK,,,7.8
Always Woodstock ,http://www.imdb.com/title/tt1995477/?ref_=fn_tt_tt_1,Color,,97.0,,Comedy,Music,Romance,485,5,English,USA,,2014.0,5.3
Leap Year ,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,Color,,100.0,,Comedy,Romance,,71276,2,English,USA,PG,2010.0,6.4
Exotica ,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,Color,,103.0,,Drama,Mystery,Romance,14112,1,English,Canada,R,1994.0,7.2
Clueless ,http://www.imdb.com/title/tt0112697/?ref_=fn_tt_tt_1,Color,,97.0,,Comedy,Romance,,123390,1,English,USA,PG-13,1995.0,6.8
Austin Powers: The Spy Who Shagged Me ,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,Color,Crime,95.0,,Action,Adventure,Comedy,181225,1,English,USA,PG-13,1999.0,6.6
Double Jeopardy ,http://www.imdb.com/title/tt0150377/?ref_=fn_tt_tt_1,Color,,105.0,,Crime,Mystery,Thriller,56646,0,English,USA,R,1999.0,6.4
Hellboy II: The Golden Army ,http://www.imdb.com/title/tt0411477/?ref_=fn_tt_tt_1,Color,Horror,120.0,,Action,Adventure,Fantasy,208422,0,English,USA,PG-13,2008.0,7.0
It's Kind of a Funny Story ,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1,Color,,101.0,6350058.0,Comedy,Drama,Romance,106098,3,English,USA,PG-13,2010.0,7.2
The Express ,http://www.imdb.com/title/tt0469903/?ref_=fn_tt_tt_1, Black and White,,130.0,9589875.0,Biography,Drama,Sport,16673,0,English,USA,PG,2008.0,7.3
Casino Royale ,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1, Black and White,,144.0,,Action,Adventure,Thriller,470501,1,English,UK,PG-13,2006.0,8.0
Vacation ,http://www.imdb.com/title/tt1524930/?ref_=fn_tt_tt_1,Color,,99.0,,Adventure,Comedy,,66123,4,English,USA,R,2015.0,6.1
Oscar and Lucinda ,http://www.imdb.com/title/tt0119843/?ref_=fn_tt_tt_1,Color,,132.0,1508689.0,Drama,Romance,,5648,2,English,USA,R,1997.0,6.7
Reno 911!: Miami ,http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1,Color,,84.0,,Comedy,Crime,,23928,2,English,USA,R,2007.0,5.9
The Duchess ,http://www.imdb.com/title/tt0864761/?ref_=fn_tt_tt_1,Color,Romance,110.0,13823741.0,Biography,Drama,History,61777,3,English,UK,PG-13,2008.0,6.9
F.I.S.T. ,http://www.imdb.com/title/tt0077531/?ref_=fn_tt_tt_1,Color,,145.0,,Drama,,,5561,2,English,USA,PG,1978.0,6.4
Middle of Nowhere ,http://www.imdb.com/title/tt1211890/?ref_=fn_tt_tt_1,Color,,97.0,,Drama,,,1034,2,English,USA,R,2012.0,6.5
Hostel ,http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1,Color,,93.0,47277326.0,Horror,,,138814,0,English,USA,R,2005.0,5.9
X-Men: First Class ,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,Color,,132.0,,Action,Adventure,Sci-Fi,518537,3,English,USA,PG-13,2011.0,7.8
Much Ado About Nothing ,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,Color,,111.0,,Comedy,Drama,Romance,37269,0,English,UK,PG-13,1993.0,7.4
"New York, New York ",http://www.imdb.com/title/tt0076451/?ref_=fn_tt_tt_1,Color,Romance,136.0,,Drama,Music,Musical,13548,0,English,USA,PG,1977.0,6.7
Adore ,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,Color,,112.0,,Drama,Romance,,23334,0,English,Australia,R,2013.0,6.2
Max Payne ,http://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1,Color,Mystery,103.0,40687294.0,Action,Crime,Drama,107772,1,English,Canada,PG-13,2008.0,5.4
Jonah: A VeggieTales Movie ,http://www.imdb.com/title/tt0298388/?ref_=fn_tt_tt_1,Color,Drama,82.0,,Adventure,Animation,Comedy,3135,0,English,USA,G,2002.0,6.6
Sea Rex 3D: Journey to a Prehistoric World ,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,Color,,41.0,4074023.0,Documentary,,,296,0,English,UK,,2010.0,6.9
War ,http://www.imdb.com/title/tt0499556/?ref_=fn_tt_tt_1,Color,,103.0,22466994.0,Action,Crime,Thriller,72673,0,English,USA,R,2007.0,6.3
Stuck on You ,http://www.imdb.com/title/tt0338466/?ref_=fn_tt_tt_1,Color,,118.0,,Comedy,,,44453,2,English,USA,PG-13,2003.0,5.8
Detention of the Dead ,http://www.imdb.com/title/tt1865346/?ref_=fn_tt_tt_1,Color,,87.0,,Comedy,Horror,,2038,6,English,USA,Not Rated,2012.0,4.6
All the Queen's Men ,http://www.imdb.com/title/tt0252223/?ref_=fn_tt_tt_1,Color,War,105.0,22723.0,Action,Comedy,Drama,2236,1,English,Germany,PG-13,2001.0,4.5
Wayne's World ,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,Color,,94.0,,Comedy,Music,,114610,2,English,USA,PG-13,1992.0,7.0
My Own Private Idaho ,http://www.imdb.com/title/tt0102494/?ref_=fn_tt_tt_1,Color,,104.0,6401336.0,Drama,,,36996,2,English,USA,R,1991.0,7.1
Chappie ,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,Color,Sci-Fi,120.0,,Action,Crime,Drama,172965,0,English,USA,R,2015.0,6.9
Niagara ,http://www.imdb.com/title/tt0046126/?ref_=fn_tt_tt_1,Color,,92.0,,Crime,Film-Noir,Thriller,11047,0,English,USA,Approved,1953.0,7.1
Fiddler on the Roof ,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,Color,Romance,181.0,,Drama,Family,Musical,29839,0,English,USA,G,1971.0,8.0
Me Before You ,http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1,Color,,110.0,,Drama,Romance,,44723,0,English,UK,PG-13,2016.0,7.6
The Names of Love ,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,Color,,100.0,,Comedy,Drama,Romance,6304,1,French,France,R,2010.0,7.2
High Noon ,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1, Black and White,,85.0,,Thriller,Western,,80193,0,English,USA,PG,1952.0,8.1
Jab Tak Hai Jaan ,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,Color,,176.0,3047539.0,Drama,Romance,,42296,4,Hindi,India,Not Rated,2012.0,6.9
Insurgent ,http://www.imdb.com/title/tt2908446/?ref_=fn_tt_tt_1,Color,,119.0,,Adventure,Sci-Fi,Thriller,154621,0,English,USA,PG-13,2015.0,6.3
The Beastmaster ,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,Color,,90.0,,Action,Adventure,Fantasy,15345,0,English,USA,PG,1982.0,6.2
My Fair Lady ,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,Color,Romance,170.0,,Drama,Family,Musical,66959,1,English,USA,Approved,1964.0,7.9
Love Actually ,http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1,Color,,129.0,,Comedy,Drama,Romance,318634,9,English,UK,R,2003.0,7.7
